right team,result,left team,time
أتليتك بلباو,0-0,ايلفسبورج,8:45 PM
أر إف أس,0-0,باوك سالونيكي,8:45 PM
ألكمار,0-0,جالاتا سراي,8:45 PM
أندرلخت,0-0,بورتو,8:45 PM
الفتح,0-0,الرياض,8:00 PM
دينامو كييف,0-0,فيكتوريا بلزن,8:45 PM
كاراباج أجدام,0-0,أولمبيك ليون,8:45 PM
لاتسيو,0-0,لودوجوريتس رازجراد,8:45 PM
هايدنهايم,0-0,تشيلسي,8:45 PM
تفينتي,0-0,رويال يونيون سان جيلواز,11:00 PM
توتنام هوتسبر,0-0,روما,11:00 PM
ريال سوسيداد,0-0,أياكس,11:00 PM
سبورتنج براجا,0-0,هوفنهايم,11:00 PM
ستيوا بوخارست,0-0,أولمبياكوس,11:00 PM
سلافيا براج,0-0,فنرباهتشة,11:00 PM
فرينكفاروزي,0-0,مالمو,11:00 PM
مانشستر يونايتد,0-0,بودو/جليمت,11:00 PM
ميتيلاند,0-0,آينتراخت فرانكفورت,11:00 PM
نيس,0-0,جلاسكو رينجرز,11:00 PM
