jop_title,Company,address,jop_type
Mobile app developer (React Native),Leggera -,"San Stefano, Alexandria, Egypt ",Full Time
HTML Implementation Specialist,Options -,"Cairo, Egypt ",Full Time
Full Stack Developer,Leggera -,"San Stefano, Alexandria, Egypt ",Full Time
Senior HR Representative,Options -,"Mohandessin, Giza, Egypt ",Full Time
Human Resource Recruiter,Intelligent for field Marketing -,"Nasr City, Cairo, Egypt ",Full Time
Sales Promoter indoor is needed (Males & Females),Intelligent for field Marketing -,"Cairo, Egypt ",Full Time
Telesales Executive,Why SMS -,"Nasr City, Cairo, Egypt ",Full Time
AI Engineer,Integrated Technology Group -,"Heliopolis, Cairo, Egypt ",Full Time
Medical admin Coordinator,Mersal  -,"Maadi, Cairo, Egypt ",Full Time
Localization Engineer,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time
DTP Specialist,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time
Business Developer,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time
Vendor Manager,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time
Localization Project Manager,The Translation Gate -,"Maadi, Cairo, Egypt ",Full Time
Female Operations Manager,Your GYM -,"New Cairo, Cairo, Egypt ",Full Time
Female Front Office Associate,Your GYM -,"New Cairo, Cairo, Egypt ",Full Time
Sales Executive - ( Female ),Your GYM -,"Nasr City, Cairo, Egypt ",Full Time
Female - Branch Manager,Your GYM -,"New Cairo, Cairo, Egypt ",Full Time
Senior SEO Specialist,ECC Group -,"Nasr City, Cairo, Egypt ",Full Time
Tax Accountant,Arabiat -,"Mohandessin, Giza, Egypt ",Full Time
Administrative Assistant Russian speaker,AMG Call Center -,"Cairo, Egypt ",Full Time
International Customer Care Advisor (Hybird),_VOIS Egypt -,"Cairo, Egypt ",Full Time
Administrator,ASSET For Industrial & Energy Solutions LLC -,"Cairo, Egypt ",Full Time
Media Buyer,SMG Pharmaceutical  -,"Cairo, Egypt ",Full Time
Financial / Investment Analyst,Cairo Three A  for International Industries. -,"New Cairo, Cairo, Egypt ",Full Time
HR Payroll Specialist,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full Time
Cashier,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Senior Full Stack Developer,Palm Outsourcing -,"London, United Kingdom ",Full Time
Electrical Technical Office Team Leader,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Procurement Specialist,Bakeland Egypt  -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Talent Acquisition Specialist,Bakeland Egypt  -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Graphic Designer & Video Editor,Hauberk Consulting -,"Nasr City, Cairo, Egypt ",Full Time
BIM Coordinator,Vital Konzept -,"Maadi, Cairo, Egypt ",Full Time
Project Architect,Vital Konzept -,"Maadi, Cairo, Egypt ",Full Time
Data Entry Clerk,Confidential -,"Ballarat, Australia ",Part Time
Planning Engineer,Major for Construction and Decoration -,"Sheraton, Cairo, Egypt ",Full Time
"Etisalat UAE ""E-mail & Chat Account "" Customer service representative, Maadi",Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Customer Service Representative - E-mail & Chat Account (Etisalat UAE),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Clinical Instructor,Cleopatra Hospitals Group -,"Heliopolis, Cairo, Egypt ",Full Time
Property Advisor / Consultant,Iris -,"New Cairo, Cairo, Egypt ",Full Time
Property Consultant,Iris -,"New Cairo, Cairo, Egypt ",Full Time
Telesales Representative - Europe & UK Account,Global Travel Association -,"Nasr City, Cairo, Egypt ",Full Time
Front Office Administrator,Leeds -,"Sheikh Zayed, Giza, Egypt ",Full Time
Mechanical Technical Office Engineer,Major for Construction and Decoration -,"Cairo, Egypt ",Full Time
Automotive Mechanical Engineer,Nahdet Misr Publishing Group -,"6th of October, Giza, Egypt ",Full Time
Stock Controller F&B,willys kitchen-Egypt -,"Obour City, Cairo, Egypt ",Full Time
Customer Service Specialist (B2B),Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
"Project engineer/ project manger Civil ""in Dubai""",Emerald interiors  -,"Dubai, United Arab Emirates ",Full Time
Sr. Construction Quantity Surveyor/Estimation,Confidential -,"Cairo, Egypt ",Full Time
Interior designer,Emerald interiors  -,"Nasr City, Cairo, Egypt ",Full Time
Telesales Agent,LEDO International Corp -,"New Cairo, Cairo, Egypt ",Full Time
Sales Engineer,Staron Egypt -,"Heliopolis, Cairo, Egypt ",Full Time
English Teacher - Toddlers & Juniors,Kiddy Corner Nursery -,"Heliopolis, Cairo, Egypt ",Full Time
Treasury Analyst,Premier Services and Recruitment Overseas  -,"Maadi, Cairo, Egypt ",Full Time
Senior Java Developer,Tafeel -,"Riyadh, Saudi Arabia ",Full Time
Outdoor Sales Representative,Scale Office Furniture -,"Heliopolis, Cairo, Egypt ",Full Time
Payroll Manager,Premier Services and Recruitment Overseas  -,"Maadi, Cairo, Egypt ",Full Time
Site Electrical Engineer,Major for Construction and Decoration -,"Cairo, Egypt ",Full Time
